1,create,を創り出す/を引き起こす
2,increase,増加する/を増やす
3,improve,を向上させる/よくなる
4,mean,を意味する/(…する)つもりである(to do)
5,own,を所有している/(事実・罪など)を認める
6,include,を含む
7,consider,を見なす/について考える
8,allow,を許す/を与える/(〜を)考慮に入れる(for)
9,suggest,を提案する/を暗示する
10,produce,を生産する/を取り出す
11,decide,を決める/に決着をつける
12,offer,を提供する・申し出る
13,require,を要求する/を必要とする
14,share,を共有する/を分担する
15,store,を保存する/を蓄える
16,tend,傾向がある/を世話する
17,concern,[受身形で]心配している/[受身形で](〜に)関係する(with)/に関連する
18,describe,について述べる/を説明する
19,involve,を関与させる/を伴う
20,reduce,を減らす/を(〜に)変える(to)
21,design,を設計する/を計画する
22,force,を強いる/を強要する
23,limit,を制限[規制]する
24,bear,に耐える/を負う/を産む/を(心に)抱く
25,affect,に影響を及ぼす/を感動させる
26,deal,{deal withで}を処理する/{deal inで}を商う/を分配する
27,avoid,を避ける
28,relate,を関連づける/(〜に)関連する(to)
29,realize,に気づく/を実現する
30,encourage,を奨励する/を励ます
31,compare,を比較する/を(〜に)例える(to)
32,measure,を測る/を(比較して)評価する
33,exist,存在する/生存する
34,mark,に印をつける/を(記号で)示す/に汚れをつける
35,challenge,に異議を唱える/(人)に挑む
36,depend,頼る/〜次第である
37,object,反対する/(…)と言って反対する(that節)
38,demand,を要求する
39,found,を設立する/(理論など)を(〜に基づいて)築く(on)
40,complete,を完成させる/仕上げる
41,idea,考え/思いつき/理解/見解/概念
42,accord,一致/合意・協定
43,company,会社/{集合的に}仲間/(仲間と)一緒にいること/一座
44,interest,興味/利子/利害
45,research,(〜についての)研究・調査(into/on/in)
46,cause,原因/理由/大義
47,reason,理由/(…する)根拠(to do)/理性/分別
48,effect,影響・効果/結果
49,influence,影響(力)
50,situation,状況/(人の置かれた)立場
51,environment,環境
52,skill,技能/熟練
53,matter,事柄/問題/(〜s)事態/(the〜)困難/物質
54,view,(〜についての)見解(on/about)/(〜に対する)(特定の)見方(of)/眺め
55,value,価値/価格/評価/{〜s}価値観
56,species,(生物の)種/種類
57,thought,考え/思考
58,knowledge,知識/知っていること/認識
59,memory,記憶(力)/(〜の)思い出(of)
60,practice,実践・実行/(社会の)慣習/練習
61,benefit,利益・恩恵/給付金
62,theory,学説/理論/原理/推測
63,issue,問題(点)/発行(物)/発表
64,experiment,(〜を対象とする)実験(on)
65,article,記事/条項/品物
66,focus,焦点/関心の的
67,subject,話題/科目/主題/被験者
68,project,計画/事業/研究計画
69,quality,質/特質
70,role,役割/(俳優などの)役
71,term,(専門)用語/(〜s)条件/(〜s)間柄/学期
72,statement,声明/主張/明細書
73,material,材料・素材/資料/記事
74,evidence,証拠
75,source,(〜の)源・根源(of)/出所・情報源
76,community,(共同)社会・〜界/地域社会/地域住民
77,technology,科学技術/応用技術
78,culture,文化/教養/耕作/養殖/培養
79,appropriate,(〜に)適切な(for/to)
80,likely,ありそうな
81,possible,可能な/可能性のある
82,individual,個々の/個人の
83,public,公の/公衆の/公開の
84,common,共通の/普通の/一般の
85,certain,確信して/確かな/ある/一定の
86,similar,似ている・類似した/同様の
87,recent,最近の
88,major,主要な/大きい(ほうの)/長調の
89,patient,忍耐強い/勤勉な
90,particular,特定の/特別の/(〜について)やかましい(about)
91,physical,身体の/物質的な/物理学の
92,various,さまざまな/いくつかの
93,available,手に入る/利用できる/手が空いている
94,native,出生地の/原産の/生得の
95,political,政治(上)の
96,due,予定された/(支払)期日で/しかるべき
97,blank,空白の/無表情な/がらんとした
